('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         1003849 function calls (974791 primitive calls) in 19.996 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    388/8    0.006    0.000    1.754    0.219 <frozen importlib._bootstrap>:1349(_find_and_load)
      388    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
    387/7    0.005    0.000    1.753    0.250 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      387    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:420(__exit__)
      387    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:412(__init__)
      387    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap>:416(__enter__)
      386    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      385    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:445(cb)
      385    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
      383    0.007    0.000    0.112    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      383    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:599(__init__)
      383    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
      383    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      380    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      380    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      379    0.005    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      379    0.001    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      371    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:653(has_location)
      371    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      370    0.006    0.000    0.955    0.003 __init__.py:330(_compile)
    362/1    0.011    0.000   19.997   19.997 {built-in method builtins.exec}
      358    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    358/7    0.004    0.000    1.750    0.250 <frozen importlib._bootstrap>:911(_load_unlocked)
  358/355    0.003    0.000    0.042    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      356    0.001    0.000    0.955    0.003 __init__.py:287(compile)
      354    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      354    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      354    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      349    0.001    0.000    0.002    0.000 {built-in method from_bytes}
      341    0.006    0.000    0.022    0.000 css_parser.py:1108(selector_iter)
      341    0.001    0.000    0.001    0.000 _compiler.py:31(_combine_flags)
      339    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      328    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
  328/325    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      327    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      327    0.007    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
      327    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:758(_validate_hash_pyc)
      327    0.005    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      327    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      327    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
