('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         902524 function calls (875473 primitive calls) in 10.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      487    0.015    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     3442    0.030    0.000    0.065    0.000 __init__.py:953(_popToTag)
     7193    0.024    0.000    0.065    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.064    0.032 connection.py:1(<module>)
        1    0.000    0.000    0.062    0.062 cookiejar.py:1(<module>)
      928    0.032    0.000    0.060    0.000 _compiler.py:241(_optimize_charset)
7825/7803    0.019    0.000    0.058    0.000 typing.py:426(inner)
     2588    0.010    0.000    0.055    0.000 __init__.py:122(unescape)
      129    0.017    0.000    0.054    0.000 _compiler.py:470(_get_charset_prefix)
        1    0.000    0.000    0.052    0.052 _htmlparser.py:1(<module>)
    13538    0.037    0.000    0.051    0.000 _parser.py:255(match)
     3392    0.028    0.000    0.051    0.000 element.py:1292(__new__)
        1    0.000    0.000    0.050    0.050 feedparser.py:1(<module>)
    26600    0.049    0.000    0.049    0.000 _parser.py:239(__next)
     3392    0.027    0.000    0.048    0.000 __init__.py:735(string_container)
    24024    0.045    0.000    0.045    0.000 {method 'get' of 'dict' objects}
    20779    0.043    0.000    0.043    0.000 {method 'group' of 're.Match' objects}
     3443    0.020    0.000    0.042    0.000 parser.py:437(check_for_whole_start_tag)
        1    0.000    0.000    0.042    0.042 _policybase.py:1(<module>)
       10    0.005    0.001    0.041    0.004 enum.py:898(_convert_)
     7543    0.027    0.000    0.041    0.000 _parser.py:175(append)
        3    0.000    0.000    0.037    0.012 utils.py:1(<module>)
      738    0.010    0.000    0.036    0.000 filter.py:617(_attribute_match)
    19193    0.036    0.000    0.036    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.036    0.018 api.py:1(<module>)
     3444    0.023    0.000    0.036    0.000 __init__.py:812(pushTag)
    19018    0.035    0.000    0.035    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.035    0.035 socket.py:1(<module>)
