('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         903499 function calls (876469 primitive calls) in 5.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      129    0.018    0.000    0.056    0.000 _compiler.py:470(_get_charset_prefix)
    13538    0.038    0.000    0.053    0.000 _parser.py:255(match)
     2593    0.009    0.000    0.052    0.000 __init__.py:122(unescape)
    26600    0.051    0.000    0.051    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.050    0.050 feedparser.py:1(<module>)
     3400    0.027    0.000    0.049    0.000 element.py:1292(__new__)
        1    0.000    0.000    0.049    0.049 _htmlparser.py:1(<module>)
     3400    0.028    0.000    0.047    0.000 __init__.py:735(string_container)
    24063    0.044    0.000    0.044    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.042    0.042 _policybase.py:1(<module>)
     7543    0.028    0.000    0.042    0.000 _parser.py:175(append)
       79    0.004    0.000    0.041    0.001 css_parser.py:472(parse_attribute_selector)
    20815    0.041    0.000    0.041    0.000 {method 'group' of 're.Match' objects}
     3450    0.019    0.000    0.040    0.000 parser.py:437(check_for_whole_start_tag)
       10    0.005    0.001    0.040    0.004 enum.py:898(_convert_)
        2    0.000    0.000    0.038    0.019 api.py:1(<module>)
        3    0.000    0.000    0.037    0.012 utils.py:1(<module>)
      741    0.010    0.000    0.036    0.000 filter.py:617(_attribute_match)
      164    0.004    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
  191/187    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     3451    0.022    0.000    0.035    0.000 __init__.py:812(pushTag)
     2528    0.020    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.000    0.000    0.034    0.034 css_match.py:1(<module>)
    19226    0.034    0.000    0.034    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.034    0.034 socket.py:1(<module>)
    19051    0.033    0.000    0.033    0.000 {method 'end' of 're.Match' objects}
    18569    0.033    0.000    0.033    0.000 {method 'startswith' of 'str' objects}
     2593    0.019    0.000    0.032    0.000 __init__.py:91(_replace_charref)
      341    0.008    0.000    0.032    0.000 css_parser.py:1108(selector_iter)
       16    0.010    0.001    0.031    0.002 enum.py:1753(convert_class)
      164    0.031    0.000    0.031    0.000 {built-in method marshal.loads}
      496    0.016    0.000    0.030    0.000 css_types.py:41(__init__)
     3309    0.012    0.000    0.029    0.000 _htmlparser.py:222(handle_data)
        1    0.000    0.000    0.029    0.029 socket.py:960(getaddrinfo)
        1    0.028    0.028    0.028    0.028 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.028    0.028 ssl.py:1(<module>)
    14624    0.026    0.000    0.026    0.000 {built-in method builtins.min}
    10251    0.026    0.000    0.026    0.000 element.py:377(setup)
  142/137    0.002    0.000    0.025    0.000 css_parser.py:395(freeze)
     4400    0.016    0.000    0.024    0.000 _parser.py:292(tell)
        1    0.000    0.000    0.024    0.024 compat.py:30(_resolve_char_detection)
        2    0.000    0.000    0.023    0.012 __init__.py:71(import_module)
      218    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.023    0.012 <frozen importlib._bootstrap>:1375(_gcd_import)
    78/56    0.000    0.000    0.023    0.000 typing.py:574(__getitem__)
     7068    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
     3450    0.015    0.000    0.021    0.000 __init__.py:789(popTag)
       56    0.001    0.000    0.021    0.000 typing.py:753(Union)
      191    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1365    0.007    0.000    0.020    0.000 filter.py:628(_match_attribute_value_helper)
      124    0.003    0.000    0.020    0.000 typing.py:1423(__init__)
      258    0.007    0.000    0.020    0.000 <frozen importlib._bootstrap>:304(acquire)
    10171    0.020    0.000    0.020    0.000 {method 'count' of 'str' objects}
      328    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        2    0.000    0.000    0.020    0.010 cookies.py:1(<module>)
     1024    0.005    0.000    0.020    0.000 _compiler.py:401(_simple)
      928    0.011    0.000    0.019    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.018    0.018 sessions.py:1(<module>)
      328    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     2585    0.010    0.000    0.018    0.000 css_parser.py:317(match)
    11367    0.018    0.000    0.018    0.000 typing.py:2371(cast)
     3450    0.012    0.000    0.018    0.000 element.py:1821(is_empty_element)
     3436    0.012    0.000    0.018    0.000 __init__.py:1068(handle_data)
     9376    0.017    0.000    0.017    0.000 {built-in method builtins.ord}
4132/4102    0.013    0.000    0.017    0.000 {built-in method __new__ of type object at 0x7f22adae52e0}
     7995    0.015    0.000    0.017    0.000 element.py:2788(descendants)
        1    0.000    0.000    0.017    0.017 _typing.py:1(<module>)
        1    0.000    0.000    0.017    0.017 header.py:1(<module>)
      142    0.001    0.000    0.017    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.017    0.017 adapters.py:1(<module>)
        1    0.000    0.000    0.017    0.017 cd.py:1(<module>)
     1131    0.008    0.000    0.016    0.000 _parser.py:311(_class_escape)
      294    0.005    0.000    0.016    0.000 typing.py:173(_type_check)
7416/7348    0.015    0.000    0.016    0.000 {method 'join' of 'str' objects}
       43    0.000    0.000    0.015    0.000 response.py:494(_decode)
       42    0.002    0.000    0.015    0.000 response.py:105(decompress)
        1    0.000    0.000    0.014    0.014 css_types.py:1(<module>)
     7867    0.014    0.000    0.014    0.000 {method 'rstrip' of 'str' objects}
     1383    0.006    0.000    0.014    0.000 _parser.py:171(__setitem__)
        2    0.000    0.000    0.013    0.007 request.py:1(<module>)
     2658    0.009    0.000    0.013    0.000 filter.py:293(matches_string)
     1963    0.010    0.000    0.013    0.000 __init__.py:909(_linkage_fixer)
        2    0.000    0.000    0.013    0.006 abc.py:1(<module>)
       41    0.013    0.000    0.013    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.013    0.013 parse.py:1(<module>)
     6881    0.012    0.000    0.012    0.000 {method 'endswith' of 'str' objects}
     6983    0.012    0.000    0.012    0.000 {method 'start' of 're.Match' objects}
